"name","location","gps_coordinates","max_radioactivity","source_url","reading_source"
"Der Silvertbach in Marl, Nordrhein-Westfalen","Der Silvertbach in Marl, Nordrhein-Westfalen","51.666665,7.159691","1.6 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,811.0.html","text"
"Deutsches Technikmuseum","Deutsches Technikmuseum","52.497181,13.375929","0.6 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2559.0.html",""
"Die Porzellanfabrik von Christian Fischer in Zwickau","Die Porzellanfabrik von Christian Fischer in Zwickau","50.718504,12.493927","2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,38.0.html",""
"Die Referenzflächen der WISMUT Reust bei Ronneburg","Die Referenzflächen der WISMUT Reust bei Ronneburg","50.838821,12.180143","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1161.0.html","text"
"Doku: Die Schlacht von Tschernobyl","Doku: Die Schlacht von Tschernobyl","48.778582,9.179858","-","https://www.geigerzaehlerforum.de/index.php/topic,670.0.html",""
"Donnersbergkreis","Donnersbergkreis","49.639283,7.910429","0.4 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1668.0.html",""
"Dorfstraße im Landkreis Zwickau","Dorfstraße im Landkreis Zwickau","50.680624,12.350021","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,157.0.html","text"
"Dosis auf der ISS und  Nord- bzw. Südpol?","Dosis auf der ISS und  Nord- bzw. Südpol?","48.2347529,16.4183882","0.104 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2535.0.html","text"
"Dresden Freital","Dresden Freital","51.014651,13.643744","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,782.0.html","text"
"Dresden Freital - Erdmuthenschacht(halde)","Dresden Freital - Erdmuthenschacht(halde)","59.068056,11.537191","2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2665.0.html","text"
"Dresden Freital - Rosinaschacht","Dresden Freital - Rosinaschacht","51.006614,13.651196","12.7 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1963.0.html","text"
"ehemalige Uranerzaufbereitung Seelingstädt","ehemalige Uranerzaufbereitung Seelingstädt","50.7728345,12.2418481","0.5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,150.0.html","text"
"Ein ""strahlender"" Bau.","Ein ""strahlender"" Bau.","47.957279,9.653776","-","https://www.geigerzaehlerforum.de/index.php/topic,1226.0.html",""
"Elbmarsch Krümmel und die GKSS","Elbmarsch Krümmel und die GKSS","53.4102903,10.4095775","-","https://www.geigerzaehlerforum.de/index.php/topic,1339.0.html",""
"Exkursion nach Jachymov","Exkursion nach Jachymov","-54.718905,-68.051773","30 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,37.0.html","text"
"Fettquelle in BAD","Fettquelle in BAD","48.763404,8.242625","0.3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1964.0.html",""
"Florida's Radioactive Fountain","Florida's Radioactive Fountain","26.935376,-82.051223","0.3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1709.0.html",""
"Flugwerft Oberschleißheim","Flugwerft Oberschleißheim","48.245313,11.555857","11.7 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,3123.0.html",""
"Fort d'Aubervilliers (Paris)","Fort d'Aubervilliers (Paris)","48.914257,2.403807","-","https://www.geigerzaehlerforum.de/index.php/topic,1359.0.html",""
"Frankreich: Cs-137-Hotspots in den Alpen","Frankreich: Cs-137-Hotspots in den Alpen","44.342315,6.845905","4.5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1909.0.html","text"
"Frankreich: Fort de Vaujours / Polygone d'expérimentation de Moronvilliers","Frankreich: Fort de Vaujours / Polygone d'expérimentation de Moronvilliers","49.238389,4.314402","-","https://www.geigerzaehlerforum.de/index.php/topic,2581.0.html",""
"Franz. Kernwaffentestgelände in Algerien","Franz. Kernwaffentestgelände in Algerien","50.111784,8.656876","-","https://www.geigerzaehlerforum.de/index.php/topic,1253.0.html",""
"Frauenplan in Eisenach","Frauenplan in Eisenach","50.971506,10.323096","1.5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1070.0.html","text"
"Fußgängerzone in Wernigerode und Rundwanderweg zum Brocken","Fußgängerzone in Wernigerode und Rundwanderweg zum Brocken","51.8344172,10.7862526","","https://www.geigerzaehlerforum.de/index.php/topic,812.0.html",""
"Gallatin Towers climbing area in Montana, USA","Gallatin Towers climbing area in Montana, USA","53.983336,88.597668","0.3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1268.0.html","text"
"Gamma-ODL Referenzpunkt „Kapelle im Höhenpark Killesberg in Stuttgart""","Gamma-ODL Referenzpunkt „Kapelle im Höhenpark Killesberg in Stuttgart""","48.806383,9.170617","0.63 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1960.0.html","text"
"Gamma-ODL Referenzpunkt Esslingen","Gamma-ODL Referenzpunkt Esslingen","48.74308,9.30553","0.505 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2182.0.html","text"
"Gamma-ODL Referenzstrecke „Königstraße in Stuttgart""","Gamma-ODL Referenzstrecke „Königstraße in Stuttgart""","48.782312,9.181818","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1972.0.html","text"
"Geologische Karte von Tschechien","Geologische Karte von Tschechien","49.751838,6.675413","-","https://www.geigerzaehlerforum.de/index.php/topic,1781.0.html",""
"Geschichts-Drama 'Chernobyl' (GB/USA) auf SKY","Geschichts-Drama 'Chernobyl' (GB/USA) auf SKY","51.601954,-0.194003","36 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,119.0.html","text-auto"
"Gleesbergquelle im Gesundheitsbad ACTINON in Bad Schlema","Gleesbergquelle im Gesundheitsbad ACTINON in Bad Schlema","50.60248,12.666563","0.34 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,20.0.html","text"
"Granit an der Fillgraderstiege im 6. Bezirk","Granit an der Fillgraderstiege im 6. Bezirk","49.50575,8.635042","2.33 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2738.0.html",""
"Grube Wolfach","Grube Wolfach","48.379738,8.228512","1.2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,972.0.html","text"
"Grüsse aus Autun","Grüsse aus Autun","48.368131,10.899707","0.61 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,910.0.html","text"
"Halde Schacht 333","Halde Schacht 333","50.506301,12.758910","100 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,3146.0.html","text"
"Halde Stolzenberg","Halde Stolzenberg","50.8662249106428,12.228598594665527","5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2728.0.html","text"
"Haldenlandschaft Mansfeld-Südharz","Haldenlandschaft Mansfeld-Südharz","51.49440,11.28613","0.15 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1775.0.html","text"
"Hamburg","Hamburg","53.550172,10.001317","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1524.0.html","text"
"Hamburg: Strahlendes Karolinenviertel","Hamburg: Strahlendes Karolinenviertel","53.558448,9.97267","1 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,825.0.html","text"
"Hanford Site","Hanford Site","46.532849,-119.493108","-","https://www.geigerzaehlerforum.de/index.php/topic,1014.0.html",""
"HAZMAT radioactive pieces from inside Chernobyl reactor 4!","HAZMAT radioactive pieces from inside Chernobyl reactor 4!","51.3076238,29.8984972","-","https://www.geigerzaehlerforum.de/index.php/topic,943.0.html",""
"Heeresversuchsanstalt Kummersdorf, Versuchsstelle Gottow: ""Uranmaschine""","Heeresversuchsanstalt Kummersdorf, Versuchsstelle Gottow: ""Uranmaschine""","52.084696,13.302543","20 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,164.0.html","text"
"heise.de: Tschernobyl strahlt weiter: Deutsche Experten messen in Sperrzone","heise.de: Tschernobyl strahlt weiter: Deutsche Experten messen in Sperrzone","50.151223,8.863059","-","https://www.geigerzaehlerforum.de/index.php/topic,836.0.html",""
"Helmholtz Zentrum Dresden-Rossendorf (HZDR)","Helmholtz Zentrum Dresden-Rossendorf (HZDR)","51.061959,13.951296","-","https://www.geigerzaehlerforum.de/index.php/topic,527.0.html",""
