"name","source_url","image_url","local_file"
"heise.de: Tschernobyl strahlt weiter: Deutsche Experten messen in Sperrzone","https://www.geigerzaehlerforum.de/index.php/topic,836.0.html","https://www.bfs.de/SharedDocs/Bilder/BfS/DE/ion/notfallschutz/messuebung-hubschrauber-2021-tschernobyl-ergebnisse-cs137.jpg?__blob=wide&v=5",".\geigerzaehlerforum parser\images\heise_de__Tschernobyl_strahlt_weiter__De_0.jpg"
"Nuklearunfall von Palomares (Spanien)","https://www.geigerzaehlerforum.de/index.php/topic,1028.0.html","https://www.ecologistasenaccion.org/wp-content/uploads/2015/12/PALOcopia.jpg",".\geigerzaehlerforum parser\images\Nuklearunfall_von_Palomares__Spanien__1.jpg"
"Radiumquelle Rautenkranz","https://www.geigerzaehlerforum.de/index.php/topic,112.0.html","https://de.wikipedia.org/wiki/Datei:Radiumquelle.jpg",".\geigerzaehlerforum parser\images\Radiumquelle_Rautenkranz_2.jpg"
"Sonderwaffenlager Lychen II Himmelpfort","https://www.geigerzaehlerforum.de/index.php/topic,920.0.html","https://www.untergrund-brandenburg.de/galleryv3/var/albums/gssd/stolzenhain/P1000153.JPG?m=1395049319",".\geigerzaehlerforum parser\images\Sonderwaffenlager_Lychen_II_Himmelpfort_3.jpg"
