"topic_url","image_url","local_file","status"
"https://www.geigerzaehlerforum.de/index.php/topic,1007.15.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_372_1707255401.png",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000029_avatar_372_1707255401.png","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1007.30.html","https://www.geigerzaehlerforum.de/Smileys/kolobok/hi.gif",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000030_hi.gif","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1007.30.html","https://www.geigerzaehlerforum.de/Smileys/kolobok/unknw.gif",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000031_unknw.gif","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1007.30.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_247_1678536790.png",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000032_avatar_247_1678536790.png","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1007.45.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1027_1730831843.png",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000033_avatar_1027_1730831843.png","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1007.45.html","https://www.geigerzaehlerforum.de/Smileys/kolobok/good.gif",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000034_good.gif","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1007.45.html","https://www.wassersommelier-union.com/wp-content/uploads/2020/01/Bild-2-002-1030x687.jpg",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000035_Bild-2-002-1030x687.jpg","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1014.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_59_1569010180.png",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000036_avatar_59_1569010180.png","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1014.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_189_1633976595.png",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000037_avatar_189_1633976595.png","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1022.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1_1664708136.jpg",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000038_avatar_1_1664708136.jpg","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1022.0.html","https://www.geigerzaehlerforum.de/Themes/default/images/membericons/iconadmin.png",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000039_iconadmin.png","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1022.0.html","https://www.geigerzaehlerforum.de/Themes/default/images/post/clip.png",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000040_clip.png","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1024.0.html","https://www.geigerzaehlerforum.de/Smileys/kolobok/yes.gif",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000041_yes.gif","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1028.0.html","https://www.ecologistasenaccion.org/wp-content/uploads/2015/12/PALOcopia.jpg",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000042_PALOcopia.jpg","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1028.0.html","https://www.geigerzaehlerforum.de/Smileys/kolobok/wacko2.gif",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000043_wacko2.gif","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1028.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_377_1650196592.png",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000044_avatar_377_1650196592.png","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1036.0.html","https://www.geigerzaehlerforum.de/Smileys/kolobok/rtfm.gif",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000045_rtfm.gif","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,1066.0.html","https://www.geigerzaehlerforum.de/Smileys/kolobok/dirol.gif",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000046_dirol.gif","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,11.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_3_1550401349.png",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000047_avatar_3_1550401349.png","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,111.0.html","https://commons.wikimedia.org/wiki/File:Abraumhalde_Schneckenstein_2.jpg",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000048_Abraumhalde_Schneckenstein_2.jpg","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,111.0.html","https://www.mineralienatlas.de/VIEWmaxFULL.php/param/1705251245-Halde-der-Schurfe-20-und-21.jpg",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000049_1705251245-Halde-der-Schurfe-20-und-21.jpg","ok"
"https://www.geigerzaehlerforum.de/index.php/topic,112.0.html","https://de.wikipedia.org/wiki/Datei:Radiumquelle.jpg",".\geigerzaehlerforum parser\downloaded_board6_auth\images\000050_Radiumquelle.jpg","ok"
